tau,n_seeds,final_size,duration,speed,t_half,t_peak,peak_rate,t_double,avg_rate,strategy
0.2,100,0.759090909090909,2.0,33.5,1.0,1.0,64.0,,33.5,high
0.2,100,1.0,1.0,120.0,1.0,1.0,120.0,1.0,120.0,low
0.2,100,1.0,1.96,65.8,1.0,1.0,118.1,1.0,65.8,random
0.25,1,0.004545454545454545,0.0,0.0,,0.0,0.0,,0.0,high
0.25,1,0.004545454545454545,0.0,0.0,,0.0,0.0,,0.0,low
0.25,1,0.004818181818181819,0.06,0.06,,0.06,0.06,1.0,0.06,random
0.25,3,0.013636363636363636,0.0,0.0,,0.0,0.0,,0.0,high
0.25,3,0.031818181818181815,2.0,1.9999999999999996,,1.0,3.0,1.0,2.0,low
0.25,3,0.013909090909090911,0.04,0.06,,0.04,0.06,,0.06,random
0.25,5,0.022727272727272728,0.0,0.0,,0.0,0.0,,0.0,high
0.25,5,0.031818181818181815,1.0,1.9999999999999991,,1.0,2.0,,2.0,low
0.25,5,0.023181818181818182,0.1,0.1,,0.1,0.1,,0.1,random
0.25,10,0.045454545454545456,0.0,0.0,,0.0,0.0,,0.0,high
0.25,10,0.045454545454545456,0.0,0.0,,0.0,0.0,,0.0,low
0.25,10,0.04709090909090909,0.16,0.31,,0.14,0.34,,0.31,random
0.25,15,0.06818181818181818,0.0,0.0,,0.0,0.0,,0.0,high
0.25,15,0.06818181818181818,0.0,0.0,,0.0,0.0,,0.0,low
0.25,15,0.07272727272727272,0.46,0.79,,0.38,0.92,,0.79,random
0.25,20,0.09090909090909091,0.0,0.0,,0.0,0.0,,0.0,high
0.25,20,0.09090909090909091,0.0,0.0,,0.0,0.0,,0.0,low
0.25,20,0.09727272727272729,0.66,0.8033333333333332,,0.44,1.04,,0.8033333333333332,random
0.25,30,0.1590909090909091,2.0,2.5,,1.0,3.0,,2.5,high
0.25,30,0.2409090909090909,1.0,23.0,,1.0,23.0,,23.0,low
0.25,30,0.17154545454545456,1.46,2.685523809523809,,1.04,5.18,2.857142857142857,2.685523809523809,random
0.25,50,0.759090909090909,2.0,58.5,1.0,1.0,114.0,1.0,58.5,high
0.25,50,0.2409090909090909,1.0,3.0,,1.0,3.0,,3.0,low
0.25,50,0.5707272727272727,2.94,24.134047619047625,2.611111111111111,1.82,52.38,2.388888888888889,24.134047619047625,random
0.25,75,0.759090909090909,2.0,46.0,1.0,1.0,89.0,1.0,46.0,high
0.25,75,0.3409090909090909,0.0,0.0,,0.0,0.0,,0.0,low
0.25,75,0.9978181818181818,2.1,72.985,1.0,1.0,139.24,1.0,72.985,random
0.25,100,0.759090909090909,2.0,33.5,1.0,1.0,64.0,,33.5,high
0.25,100,0.45454545454545453,0.0,0.0,,0.0,0.0,,0.0,low
0.25,100,0.9994545454545454,1.94,67.54,1.0,1.0,117.62,1.0,67.54,random
0.3,1,0.004545454545454545,0.0,0.0,,0.0,0.0,,0.0,high
0.3,1,0.004545454545454545,0.0,0.0,,0.0,0.0,,0.0,low
0.3,1,0.004636363636363636,0.02,0.02,,0.02,0.02,1.0,0.02,random
0.3,3,0.013636363636363636,0.0,0.0,,0.0,0.0,,0.0,high
0.3,3,0.031818181818181815,2.0,1.9999999999999996,,1.0,3.0,1.0,2.0,low
0.3,3,0.013636363636363637,0.0,0.0,,0.0,0.0,,0.0,random
0.3,5,0.022727272727272728,0.0,0.0,,0.0,0.0,,0.0,high
0.3,5,0.031818181818181815,1.0,1.9999999999999991,,1.0,2.0,,2.0,low
0.3,5,0.02290909090909091,0.04,0.04,,0.04,0.04,,0.04,random
0.3,10,0.045454545454545456,0.0,0.0,,0.0,0.0,,0.0,high
0.3,10,0.045454545454545456,0.0,0.0,,0.0,0.0,,0.0,low
0.3,10,0.045909090909090906,0.1,0.1,,0.1,0.1,,0.1,random
0.3,15,0.06818181818181818,0.0,0.0,,0.0,0.0,,0.0,high
0.3,15,0.06818181818181818,0.0,0.0,,0.0,0.0,,0.0,low
0.3,15,0.07136363636363637,0.42,0.52,,0.38,0.58,,0.52,random
0.3,20,0.09090909090909091,0.0,0.0,,0.0,0.0,,0.0,high
0.3,20,0.09090909090909091,0.0,0.0,,0.0,0.0,,0.0,low
0.3,20,0.09618181818181819,0.62,0.82,,0.58,0.92,,0.82,random
0.3,30,0.1409090909090909,1.0,0.9999999999999964,,1.0,1.0,,1.0,high
0.3,30,0.2409090909090909,2.0,11.5,,1.0,22.0,,11.5,low
0.3,30,0.14963636363636362,1.04,1.4083333333333334,,0.78,2.1,5.0,1.4083333333333334,random
0.3,50,0.759090909090909,3.0,39.0,1.0,1.0,113.0,1.0,39.0,high
0.3,50,0.2409090909090909,1.0,3.0,,1.0,3.0,,3.0,low
0.3,50,0.3475454545454545,3.02,7.933666666666666,6.0,2.02,16.26,6.0,7.933666666666666,random
0.3,75,0.759090909090909,2.0,46.0,1.0,1.0,89.0,1.0,46.0,high
0.3,75,0.3409090909090909,0.0,0.0,,0.0,0.0,,0.0,low
0.3,75,0.9777272727272728,2.82,55.37595238095238,1.0,1.0,127.96,1.0,55.37595238095238,random
0.3,100,0.759090909090909,2.0,33.5,1.0,1.0,64.0,,33.5,high
0.3,100,0.45454545454545453,0.0,0.0,,0.0,0.0,,0.0,low
0.3,100,0.9994545454545454,2.04,70.08,1.0,1.0,116.4,1.02,70.08,random
0.4,1,0.004545454545454545,0.0,0.0,,0.0,0.0,,0.0,high
0.4,1,0.004545454545454545,0.0,0.0,,0.0,0.0,,0.0,low
0.4,1,0.0047272727272727275,0.04,0.04,,0.04,0.04,1.0,0.04,random
0.4,3,0.013636363636363636,0.0,0.0,,0.0,0.0,,0.0,high
0.4,3,0.031818181818181815,2.0,1.9999999999999996,,1.0,3.0,1.0,2.0,low
0.4,3,0.014454545454545458,0.14,0.11333333333333334,,0.12,0.14,2.0,0.11333333333333334,random
0.4,5,0.022727272727272728,0.0,0.0,,0.0,0.0,,0.0,high
0.4,5,0.031818181818181815,1.0,1.9999999999999991,,1.0,2.0,,2.0,low
0.4,5,0.02327272727272727,0.12,0.12,,0.12,0.12,,0.12,random
0.4,10,0.045454545454545456,0.0,0.0,,0.0,0.0,,0.0,high
0.4,10,0.045454545454545456,0.0,0.0,,0.0,0.0,,0.0,low
0.4,10,0.04618181818181819,0.16,0.16,,0.16,0.16,,0.16,random
0.4,15,0.06818181818181818,0.0,0.0,,0.0,0.0,,0.0,high
0.4,15,0.06818181818181818,0.0,0.0,,0.0,0.0,,0.0,low
0.4,15,0.07018181818181818,0.32,0.32333333333333336,,0.3,0.36,,0.32333333333333336,random
0.4,20,0.09090909090909091,0.0,0.0,,0.0,0.0,,0.0,high
0.4,20,0.09090909090909091,0.0,0.0,,0.0,0.0,,0.0,low
0.4,20,0.09363636363636363,0.36,0.47,,0.32,0.5,,0.47,random
0.4,30,0.13636363636363635,0.0,0.0,,0.0,0.0,,0.0,high
0.4,30,0.2409090909090909,2.0,11.5,,1.0,13.0,,11.5,low
0.4,30,0.14118181818181819,0.7,0.77,,0.58,0.84,,0.77,random
0.4,50,0.25,2.0,2.5,,1.0,3.0,,2.5,high
0.4,50,0.2409090909090909,1.0,3.0,,1.0,3.0,,3.0,low
0.4,50,0.24472727272727268,1.06,1.7033333333333334,,0.82,2.56,,1.7033333333333334,random
0.4,75,0.759090909090909,2.0,46.0,1.0,1.0,89.0,1.0,46.0,high
0.4,75,0.3409090909090909,0.0,0.0,,0.0,0.0,,0.0,low
0.4,75,0.4553636363636363,2.64,8.95957142857143,4.0,1.64,17.08,6.5,8.95957142857143,random
0.4,100,0.759090909090909,2.0,33.5,1.0,1.0,64.0,,33.5,high
0.4,100,0.45454545454545453,0.0,0.0,,0.0,0.0,,0.0,low
0.4,100,0.9919090909090909,2.32,55.00666666666666,1.0,1.0,110.78,1.1875,55.00666666666666,random
0.5,1,0.004545454545454545,0.0,0.0,,0.0,0.0,,0.0,high
0.5,1,0.004545454545454545,0.0,0.0,,0.0,0.0,,0.0,low
0.5,1,0.004636363636363636,0.02,0.02,,0.02,0.02,1.0,0.02,random
0.5,3,0.013636363636363636,0.0,0.0,,0.0,0.0,,0.0,high
0.5,3,0.013636363636363636,0.0,0.0,,0.0,0.0,,0.0,low
0.5,3,0.013818181818181818,0.04,0.04,,0.04,0.04,,0.04,random
0.5,5,0.022727272727272728,0.0,0.0,,0.0,0.0,,0.0,high
0.5,5,0.031818181818181815,2.0,0.9999999999999996,,1.0,1.0,,1.0,low
0.5,5,0.023090909090909096,0.08,0.08,,0.08,0.08,,0.08,random
0.5,10,0.045454545454545456,0.0,0.0,,0.0,0.0,,0.0,high
0.5,10,0.045454545454545456,0.0,0.0,,0.0,0.0,,0.0,low
0.5,10,0.04663636363636364,0.24,0.26,,0.24,0.26,,0.26,random
0.5,15,0.06818181818181818,0.0,0.0,,0.0,0.0,,0.0,high
0.5,15,0.06818181818181818,0.0,0.0,,0.0,0.0,,0.0,low
0.5,15,0.06918181818181818,0.2,0.22,,0.2,0.22,,0.22,random
0.5,20,0.09090909090909091,0.0,0.0,,0.0,0.0,,0.0,high
0.5,20,0.09090909090909091,0.0,0.0,,0.0,0.0,,0.0,low
0.5,20,0.09245454545454546,0.26,0.3,,0.24,0.32,,0.3,random
0.5,30,0.13636363636363635,0.0,0.0,,0.0,0.0,,0.0,high
0.5,30,0.13636363636363635,0.0,0.0,,0.0,0.0,,0.0,low
0.5,30,0.1389090909090909,0.42,0.52,,0.4,0.54,,0.52,random
0.5,50,0.22727272727272727,0.0,0.0,,0.0,0.0,,0.0,high
0.5,50,0.2409090909090909,1.0,3.0,,1.0,3.0,,3.0,low
0.5,50,0.23363636363636364,0.86,1.1133333333333335,,0.76,1.18,,1.1133333333333335,random
0.5,75,0.759090909090909,3.0,30.666666666666668,1.0,1.0,75.0,1.0,30.666666666666668,high
0.5,75,0.3409090909090909,0.0,0.0,,0.0,0.0,,0.0,low
0.5,75,0.3662727272727272,1.74,2.697238095238095,,1.12,3.76,,2.697238095238095,random
0.5,100,0.759090909090909,3.0,22.333333333333332,1.0,1.0,63.0,,22.333333333333332,high
0.5,100,0.45454545454545453,0.0,0.0,,0.0,0.0,,0.0,low
0.5,100,0.5908181818181818,2.56,10.781857142857142,1.457142857142857,1.64,20.44,5.666666666666667,10.781857142857142,random
